Symbol,Company,Sector,Market Cap,ROE,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,P/E
LHX,L3Harris,Industrials,48659742720.0,0.09564,0.505075,0.047335,0.073072,-0.025737,26.5829
BWA,BorgWarner,Consumer Discretionary,13274973184.0,0.075365,0.335301,0.050095,0.07564,-0.025545,31.3365
J,Jacobs Solutions,Industrials,17214038016.0,0.108001,0.478865,0.056283,0.080791,-0.024507,48.8638
ZBH,Zimmer Biomet,Health Care,18978400256.0,0.062206,0.23426,0.047633,0.071367,-0.023734,24.1505
BLK,BlackRock,Financials,179874136064.0,0.110195,0.548675,0.049734,0.073351,-0.023617,27.0283
DHR,Danaher Corporation,Health Care,147563806720.0,0.076063,0.284061,0.054457,0.077802,-0.023345,36.891
SLB,Schlumberger,Energy,86273245184.0,0.118966,0.572956,0.050804,0.073821,-0.023017,27.8134
RTX,RTX Corporation,Industrials,270602862592.0,0.112893,0.512783,0.055004,0.077539,-0.022535,36.1115
NWSA,News Corp (Class A),Communication Services,16457078784.0,0.065651,0.193422,0.052953,0.074878,-0.021925,29.7573
OKE,ONEOK,Energy,60521791488.0,0.159123,0.741217,0.041178,0.062862,-0.021684,16.582
ADI,Analog Devices,Information Technology,172364775424.0,0.12233,0.520756,0.058626,0.079285,-0.020659,41.9965
TECH,Bio-Techne,Health Care,11337959424.0,0.085888,0.274241,0.062334,0.08278,-0.020446,62.3276
