Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,39790301184.0,33349999421.0,2934066213.0,4127399936.0,23732092401.0,0.12376,0.087978,0.123633,13.5615,1.6766,0.073738,0.0127,0.172231,0.102339,0.056818,0.045522,True,Funds more growth than the price implies
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,147563806720.0,25107000041.0,3999990759.0,8028000256.0,52587575055.0,0.319751,0.159318,0.076063,36.891,2.8061,0.027107,0.0077,0.284061,0.054457,0.077802,-0.023345,True,Priced above what the balance sheet can fund
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,24982593536.0,13210901160.0,1184240561.0,2115000064.0,2197146568.0,0.160095,0.089641,0.53899,21.0959,11.3705,0.047403,0.0301,0.634986,0.196739,0.068669,0.12807,False,Outside screen
DECK,Deckers Brands,Consumer Discretionary,Footwear,11406593024.0,5527288842.0,957358512.0,1326978944.0,2292485485.0,0.240078,0.173206,0.417607,11.9147,4.9756,0.08393,0.0,0.0,0.417607,0.052231,0.365376,False,Outside screen
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,188298297344.0,47927002810.0,5009640111.0,8600000512.0,27990082435.0,0.17944,0.104526,0.178979,37.5872,6.7273,0.026605,0.0096,0.360837,0.114397,0.078028,0.036369,True,Funds more growth than the price implies
DAL,Delta Air Lines,Industrials,Passenger Airlines,51386662912.0,68286998518.0,3965466821.0,7506999808.0,21933700056.0,0.109933,0.058071,0.180793,12.9585,2.3428,0.077169,0.0102,0.132177,0.156897,0.055274,0.101623,True,Funds more growth than the price implies
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,53932998656.0,18780999691.0,5059999874.0,8924000256.0,39935501536.0,0.475161,0.269421,0.126704,10.6587,1.3505,0.09382,0.0261,0.278192,0.091456,0.047781,0.043675,True,Funds more growth than the price implies
DXCM,Dexcom,Health Care,Health Care Equipment,33845487616.0,4969200229.0,950949145.0,1403200000.0,2621147841.0,0.282379,0.191369,0.362799,35.5913,12.9125,0.028097,0.0,0.0,0.362799,0.077356,0.285442,True,Funds more growth than the price implies
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,56961622016.0,16248000760.0,1467303605.0,11779999744.0,37825910154.0,0.725012,0.090307,0.038791,38.8206,1.5059,0.02576,0.0217,0.842407,0.006113,0.078408,-0.072295,True,Priced above what the balance sheet can fund
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,28876531712.0,43637995838.0,1696543119.0,3581925888.0,9288629025.0,0.082083,0.038878,0.182647,17.0208,3.1088,0.058752,0.018,0.306374,0.126689,0.063562,0.063127,True,Funds more growth than the price implies
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,24750313472.0,20068700960.0,1534815891.0,2503800064.0,3402487988.0,0.124761,0.076478,0.451086,16.1259,7.2742,0.062012,0.0,0.0,0.451086,0.062095,0.388992,False,Outside screen
D,Dominion Energy,Utilities,Multi-Utilities,58092691456.0,18119000373.0,2541830103.0,8341000192.0,27916153283.0,0.460345,0.140285,0.091052,22.8547,2.081,0.043755,0.0402,0.918758,0.007397,0.07031,-0.062913,True,Priced above what the balance sheet can fund
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,25441093632.0,8420564502.0,1112458620.0,1908990976.0,7703978168.0,0.226706,0.132112,0.144401,22.8692,3.3023,0.043727,0.0111,0.253849,0.107745,0.070323,0.037422,True,Funds more growth than the price implies
DTE,DTE Energy,Utilities,Multi-Utilities,28310382592.0,16465000333.0,1317197514.0,3616999936.0,12149014247.0,0.219678,0.08,0.10842,21.4929,2.3303,0.046527,0.0342,0.735057,0.028725,0.069063,-0.040338,True,Priced above what the balance sheet can fund
DUK,Duke Energy,Utilities,Electric Utilities,94000898048.0,32802999299.0,5185019675.0,16616999936.0,53757350131.0,0.50657,0.158065,0.096452,18.1293,1.7486,0.055159,0.036,0.652656,0.033502,0.065178,-0.031676,True,Priced above what the balance sheet can fund
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,8249809408.0,8865000554.0,439014248.0,1392999936.0,6096009422.0,0.157135,0.049522,0.072017,18.7917,1.3533,0.053215,0.0479,0.900121,0.007193,0.066053,-0.05886,True,Priced above what the balance sheet can fund
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,151806148608.0,30025999644.0,3810204216.0,6639000064.0,20253895729.0,0.221108,0.126897,0.188122,39.842,7.4952,0.025099,0.0113,0.450215,0.103427,0.078705,0.024721,True,Funds more growth than the price implies
EBAY,eBay,Consumer Discretionary,Broadline Retail,47481499648.0,12007999495.0,2149349984.0,3096000000.0,4664934989.0,0.257828,0.178993,0.460746,22.0911,10.1784,0.045267,0.0118,0.260675,0.340641,0.06963,0.271011,False,Outside screen
ECL,Ecolab,Materials,Specialty Chemicals,78463975424.0,16842499468.0,2088448078.0,4135699968.0,10055386716.0,0.245551,0.123999,0.207694,37.5705,7.8032,0.026617,0.0104,0.390733,0.126541,0.078023,0.048519,True,Funds more growth than the price implies
EIX,Edison International,Utilities,Electric Utilities,21237882880.0,19423001504.0,3728847347.0,8929999872.0,17447080646.0,0.459764,0.191981,0.213723,5.6956,1.2173,0.175575,0.0597,0.340025,0.141052,0.010991,0.130061,True,Funds more growth than the price implies
EW,Edwards Lifesciences,Health Care,Health Care Equipment,52348649472.0,6512300164.0,968352027.0,1996800000.0,10614406376.0,0.30662,0.148696,0.09123,54.0595,4.9318,0.018498,0.0,0.0,0.09123,0.081676,0.009554,True,Broadly consistent
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,52925640704.0,7846000071.0,885879823.0,1726000000.0,6809160312.0,0.219985,0.112908,0.130101,59.7436,7.7727,0.016738,3.6e-05,0.002151,0.129821,0.082468,0.047354,True,Funds more growth than the price implies
ELV,Elevance Health,Health Care,Managed Health Care,88014233600.0,201113990410.0,4938113786.0,8323999744.0,44888907771.0,0.041389,0.024554,0.110007,17.8235,1.9607,0.056106,0.0171,0.304781,0.076479,0.064752,0.011727,True,Broadly consistent
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,83101040640.0,18635998903.0,2554723897.0,6057999872.0,20379223076.0,0.32507,0.137085,0.125359,32.5284,4.0777,0.030742,0.015,0.487926,0.064193,0.076166,-0.011973,True,Broadly consistent
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,4693777920.0,1328502022.0,133466095.0,191792000.0,1181901755.0,0.144367,0.100464,0.112925,35.1683,3.9714,0.028435,0.0,0.0,0.112925,0.077204,0.03572,True,Funds more growth than the price implies
ETR,Entergy,Utilities,Electric Utilities,49812910080.0,13482226432.0,1824529072.0,5538091008.0,18228958029.0,0.41077,0.135328,0.10009,27.3018,2.7326,0.036628,0.0239,0.652513,0.03478,0.073518,-0.038738,True,Priced above what the balance sheet can fund
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,78133870592.0,26720998813.0,6740200303.0,14494999552.0,31805353306.0,0.542457,0.252244,0.21192,11.5922,2.4566,0.086265,0.0275,0.318786,0.144363,0.051181,0.093182,True,Funds more growth than the price implies
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,6045993984.0,5616749099.0,379680168.0,753348992.0,3518850947.0,0.134125,0.067598,0.107899,15.9239,1.7182,0.062799,0.0,0.0,0.107899,0.061741,0.046158,True,Funds more growth than the price implies
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,34872520704.0,9293919136.0,2702229407.0,6995361792.0,25258965871.0,0.752682,0.290752,0.106981,12.9051,1.3806,0.077489,0.0119,0.153571,0.090552,0.05513,0.035422,True,Funds more growth than the price implies
EFX,Equifax,Industrials,Research & Consulting Services,21791098880.0,6444499739.0,667314221.0,1924300032.0,4375960181.0,0.298596,0.103548,0.152495,32.6549,4.9797,0.030623,0.012,0.391859,0.092739,0.07622,0.016519,True,Broadly consistent
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,24611481600.0,3129216874.0,858270329.0,1890653056.0,10825804596.0,0.604194,0.274276,0.07928,28.6757,2.2734,0.034873,0.000426,0.012216,0.078312,0.074307,0.004004,True,Broadly consistent
ERIE,Erie Indemnity,Financials,Insurance Brokers,13512224768.0,4119468944.0,576234344.0,834972032.0,2467088194.0,0.202689,0.139881,0.233569,23.4492,5.477,0.042645,0.0228,0.534641,0.108693,0.07081,0.037884,True,Funds more growth than the price implies
EVRG,Evergy,Utilities,Electric Utilities,18622908416.0,6093899597.0,896906200.0,2840399872.0,10223347685.0,0.466105,0.147181,0.087731,20.7635,1.8216,0.048161,0.0341,0.708035,0.025614,0.068327,-0.042713,True,Priced above what the balance sheet can fund
ES,Eversource Energy,Utilities,Electric Utilities,26532970496.0,13998372665.0,1450197848.0,4933026816.0,16343540895.0,0.3524,0.103598,0.088732,18.2961,1.6235,0.054656,0.0447,0.817836,0.016164,0.065405,-0.049241,True,Priced above what the balance sheet can fund
EXC,Exelon,Utilities,Electric Utilities,45300269056.0,25325999901.0,2802290922.0,8354999808.0,29640406462.0,0.329898,0.110649,0.094543,16.1654,1.5283,0.06186,0.0383,0.619136,0.036008,0.062163,-0.026155,True,Priced above what the balance sheet can fund
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",36974002176.0,15699999905.0,1933555720.0,2889999872.0,1209222460.0,0.184076,0.123156,1.599007,19.1223,30.5767,0.052295,0.0063,0.12047,1.406374,0.066467,1.339907,False,Outside screen
EXPD,Expeditors International,Industrials,Air Freight & Logistics,24199055360.0,12036001663.0,893035616.0,1263714048.0,2118197344.0,0.104995,0.074197,0.421602,27.0975,11.4244,0.036904,0.0086,0.233039,0.323352,0.073393,0.249959,False,Outside screen
XOM,ExxonMobil,Energy,Integrated Oil & Gas,674970337280.0,361060023213.0,31949555411.0,67937001472.0,259379413162.0,0.18816,0.088488,0.123177,21.1261,2.6023,0.047335,0.025,0.528153,0.058121,0.068699,-0.010579,True,Broadly consistent
FFIV,"F5, Inc.",Information Technology,Communications Equipment,22145759232.0,3309332106.0,710104891.0,923304000.0,3842211072.0,0.279,0.214576,0.184817,31.1866,5.7638,0.032065,0.0,0.0,0.184817,0.075571,0.109246,True,Funds more growth than the price implies
FDS,FactSet,Financials,Financial Exchanges & Data,10885545984.0,2438458824.0,539884955.0,932542016.0,2020265107.0,0.382431,0.221404,0.267235,20.1627,5.3882,0.049596,0.0152,0.306473,0.185334,0.067682,0.117653,True,Funds more growth than the price implies
FAST,Fastenal,Industrials,Trading Companies & Distributors,54999560192.0,8749400095.0,1342572197.0,1954700032.0,4069026345.0,0.22341,0.153447,0.329949,40.9658,13.5166,0.024411,0.0197,0.807027,0.063671,0.079015,-0.015344,True,Broadly consistent
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,10310118400.0,1335422976.0,436217490.0,837700992.0,3224425036.0,0.627293,0.326651,0.135285,23.6353,3.1975,0.04231,0.0396,0.935957,0.008664,0.070961,-0.062297,True,Priced above what the balance sheet can fund
FDX,FedEx,Industrials,Air Freight & Logistics,74915659776.0,94719997152.0,4276634776.0,11843999744.0,31208073085.0,0.125042,0.04515,0.137036,17.5174,2.4005,0.057086,0.015,0.262761,0.101028,0.064311,0.036717,True,Funds more growth than the price implies
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,21592606720.0,12199999288.0,3357245516.0,3524000000.0,16028655033.0,0.288852,0.275184,0.209453,6.4316,1.3471,0.155481,0.0431,0.277204,0.151392,0.020033,0.131358,True,Funds more growth than the price implies
FSLR,First Solar,Information Technology,Semiconductors,21773379584.0,5378071245.0,1767878056.0,2385900032.0,10320430966.0,0.443635,0.32872,0.171299,12.3161,2.1097,0.081194,0.0,0.0,0.171299,0.053462,0.117836,True,Funds more growth than the price implies
FE,FirstEnergy,Utilities,Electric Utilities,26785243136.0,15635998848.0,1082056700.0,5422000128.0,12934917570.0,0.346764,0.069203,0.083654,24.754,2.0708,0.040397,0.0403,0.997587,0.000202,0.071821,-0.071619,True,Priced above what the balance sheet can fund
FTNT,Fortinet,Information Technology,Systems Software,113388101632.0,7527399998.0,2076409523.0,2595800064.0,1551070620.0,0.344847,0.275847,1.338694,54.6078,73.1031,0.018312,0.0,0.0,1.338694,0.081759,1.256935,False,Outside screen
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,17094164480.0,4315800031.0,567792036.0,1234599936.0,6048797580.0,0.286065,0.131561,0.093869,30.1064,2.826,0.033216,0.0049,0.147521,0.080021,0.075053,0.004968,True,Broadly consistent
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,28387936256.0,17126000151.0,1652319157.0,3881999872.0,11651583325.0,0.226673,0.09648,0.141811,17.1807,2.4364,0.058205,0.0088,0.15119,0.12037,0.063808,0.056563,True,Funds more growth than the price implies
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,16771617792.0,9324099562.0,746873013.0,1799100032.0,11751310889.0,0.192952,0.080101,0.063557,22.4558,1.4272,0.044532,0.0399,0.895986,0.006611,0.069961,-0.06335,True,Priced above what the balance sheet can fund
FCX,Freeport-McMoRan,Materials,Copper,106164772864.0,25867997970.0,2986916374.0,9553999872.0,20108552676.0,0.369337,0.115468,0.14854,35.5433,5.2796,0.028135,0.0083,0.295009,0.104719,0.077339,0.02738,True,Funds more growth than the price implies
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,53235019776.0,7671437805.0,1874526852.0,2311467008.0,9026270936.0,0.301308,0.244351,0.207675,28.3992,5.8978,0.035212,0.0153,0.434507,0.117438,0.074154,0.043284,True,Funds more growth than the price implies
GE,GE Aerospace,Industrials,Aerospace & Defense,341876834304.0,50639001043.0,8798529757.0,11482999808.0,17639598547.0,0.226762,0.17375,0.498794,38.8561,19.3812,0.025736,0.0057,0.22148,0.388321,0.078419,0.309902,False,Outside screen
GEHC,GE HealthCare,Health Care,Health Care Equipment,31870980096.0,21266000119.0,1964835082.0,3592999936.0,10975072336.0,0.168955,0.092393,0.179027,16.2207,2.9039,0.06165,0.002,0.032441,0.173219,0.062258,0.110962,True,Funds more growth than the price implies
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,245543583744.0,41366998759.0,9284388712.0,3927000064.0,11957046602.0,0.094931,0.22444,0.776478,26.4469,20.5355,0.037812,0.0022,0.058183,0.7313,0.072985,0.658316,False,Outside screen
GEN,Gen Digital,Information Technology,Systems Software,18346690560.0,5078999909.0,1047527193.0,2409999872.0,2654134754.0,0.474503,0.206247,0.394677,17.5143,6.9125,0.057096,0.0167,0.292489,0.279239,0.064307,0.214932,True,Funds more growth than the price implies
GNRC,Generac,Industrials,Electrical Components & Equipment,10665989120.0,4438731715.0,256677654.0,636244992.0,2877681242.0,0.143339,0.057827,0.089196,41.554,3.7065,0.024065,0.0,0.0,0.089196,0.079171,0.010025,True,Broadly consistent
GD,General Dynamics,Industrials,Aerospace & Defense,98501754880.0,54861001897.0,4437137858.0,6632999936.0,26866329730.0,0.120906,0.08088,0.165156,22.1994,3.6664,0.045046,0.0172,0.38183,0.102095,0.069729,0.032365,True,Funds more growth than the price implies
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,76760801280.0,185527994156.0,2007882395.0,16462000128.0,63941102563.0,0.088731,0.010823,0.031402,38.2297,1.2005,0.026158,0.0084,0.32113,0.021318,0.078229,-0.056911,True,Priced above what the balance sheet can fund
GPN,Global Payments,Financials,Transaction & Payment Processing Services,24559230976.0,10206744998.0,558344762.0,4482187776.0,23006982103.0,0.43914,0.054704,0.024268,43.9858,1.0675,0.022735,0.0111,0.488242,0.01242,0.079769,-0.06735,True,Priced above what the balance sheet can fund
GL,Globe Life,Financials,Life & Health Insurance,13321082880.0,6191958193.0,1155815660.0,1680269056.0,6139502436.0,0.271363,0.186664,0.188259,11.5253,2.1697,0.086766,0.0077,0.088745,0.171552,0.050955,0.120597,True,Funds more growth than the price implies
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,31350695936.0,22372999605.0,1624604227.0,4139000064.0,10998154153.0,0.185,0.072615,0.147716,19.2974,2.8505,0.05182,0.0185,0.357003,0.094981,0.066681,0.0283,True,Funds more growth than the price implies
HIG,Hartford (The),Financials,Property & Casualty Insurance,37166350336.0,29315001444.0,3922226899.0,5585999872.0,19245728622.0,0.190551,0.133796,0.203797,9.4758,1.9311,0.105532,0.0175,0.165827,0.170002,0.042511,0.127491,True,Funds more growth than the price implies
HAS,Hasbro,Consumer Discretionary,Leisure Products,13187657728.0,4973199809.0,792669908.0,1300199936.0,704094018.0,0.261441,0.159388,1.125801,16.637,18.73,0.060107,0.03,0.49911,0.563902,0.062952,0.50095,False,Outside screen
HSIC,Henry Schein,Health Care,Health Care Distributors,10073653248.0,13601999738.0,382261651.0,1080000000.0,3143795505.0,0.0794,0.028103,0.121592,26.3528,3.2043,0.037947,0.0,0.0,0.121592,0.072924,0.048668,True,Funds more growth than the price implies
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,35650240512.0,12163911271.0,1470775858.0,2721615872.0,4562821139.0,0.223745,0.120913,0.322339,24.2391,7.8132,0.041256,0.033,0.799889,0.064504,0.071435,-0.006931,True,Broadly consistent
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",68633468928.0,38793996108.0,1416897776.0,5631000064.0,25309503553.0,0.145151,0.036524,0.055983,48.4392,2.7118,0.020644,0.0112,0.54252,0.025611,0.08071,-0.055099,True,Priced above what the balance sheet can fund
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,317774135296.0,169176005491.0,14256985317.0,24647999488.0,16611532693.0,0.145694,0.084273,0.858258,22.289,19.1297,0.044865,0.0291,0.64861,0.301583,0.069811,0.231772,False,Outside screen
HON,Honeywell,Industrials,Industrial Conglomerates,65311830016.0,38057002919.0,8246779332.0,8512000000.0,18536870811.0,0.223664,0.216695,0.444885,7.9197,3.5233,0.126268,0.0133,0.105332,0.398025,0.03318,0.364845,False,Outside screen
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,15360402432.0,6234000399.0,1035142452.0,1695000064.0,6479018961.0,0.271896,0.166048,0.159768,14.8389,2.3708,0.06739,0.037,0.54904,0.072049,0.059674,0.012375,True,Broadly consistent
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,100880809984.0,9117000139.0,1850438640.0,2793999872.0,5714824610.0,0.30646,0.202966,0.323796,54.5172,17.6525,0.018343,0.0022,0.119938,0.284961,0.081746,0.203215,True,Funds more growth than the price implies
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,23778883584.0,6223599943.0,906078594.0,1515500032.0,3911882050.0,0.243509,0.145588,0.231622,26.2437,6.0786,0.038104,0.0128,0.33592,0.153816,0.072853,0.080963,True,Funds more growth than the price implies
HUM,Humana,Health Care,Managed Health Care,48148598784.0,145679011431.0,1270449598.0,3596000000.0,19212968722.0,0.024684,0.008721,0.066125,37.8989,2.506,0.026386,0.009,0.34109,0.04357,0.078126,-0.034556,True,Priced above what the balance sheet can fund
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,11376896000.0,13184999860.0,652934216.0,1170000000.0,5312055160.0,0.088737,0.049521,0.122916,17.4243,2.1417,0.057391,0.0189,0.329319,0.082437,0.064174,0.018263,True,Broadly consistent
IBM,IBM,Information Technology,IT Consulting & Other Services,218292535296.0,69094996872.0,10627275780.0,16472999936.0,34451971488.0,0.238411,0.153807,0.308466,20.5408,6.3361,0.048684,0.0292,0.599791,0.123451,0.068092,0.055359,True,Funds more growth than the price implies
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,16558225408.0,3585300065.0,512353264.0,967699968.0,3992816647.0,0.269908,0.142904,0.128319,32.318,4.147,0.030943,0.0131,0.423366,0.073993,0.076076,-0.002083,True,Broadly consistent
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,42462236672.0,4553223388.0,1121055359.0,1621684992.0,1610680024.0,0.356162,0.246211,0.696014,37.877,26.3629,0.026401,0.0,0.0,0.696014,0.078119,0.617894,False,Outside screen
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,76636831744.0,16469000776.0,3144191989.0,4806000128.0,2877903816.0,0.291821,0.190916,1.092529,24.3741,26.6294,0.041027,0.0255,0.621539,0.413479,0.071538,0.341941,False,Outside screen
INCY,Incyte,Health Care,Biotechnology,26113550336.0,5819530246.0,1639824747.0,1942312960.0,6398762572.0,0.333758,0.28178,0.256272,15.9246,4.081,0.062796,0.0,0.0,0.256272,0.061742,0.19453,True,Funds more growth than the price implies
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,29099956224.0,7942199322.0,938958587.0,2014700032.0,10177612626.0,0.25367,0.118224,0.092257,30.9917,2.8592,0.032267,0.0011,0.034091,0.089112,0.07548,0.013632,True,Broadly consistent
PODD,Insulet Corporation,Health Care,Health Care Equipment,10274130944.0,3053400163.0,369657877.0,614899968.0,1422246580.0,0.201382,0.121064,0.259911,27.7936,7.2239,0.035979,0.0,0.0,0.259911,0.073809,0.186102,True,Funds more growth than the price implies
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,88616124416.0,10558000104.0,3935375560.0,6713999872.0,29237985710.0,0.635916,0.372739,0.134598,22.5178,3.0309,0.044409,0.013,0.292732,0.095197,0.070016,0.025181,True,Funds more growth than the price implies
INTU,Intuit,Information Technology,Application Software,93806780416.0,21447999407.0,4499683728.0,6848999936.0,19099446852.0,0.31933,0.209795,0.235592,20.8474,4.9115,0.047968,0.016,0.333559,0.157008,0.068415,0.088594,True,Funds more growth than the price implies
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,133236441088.0,11034400031.0,3120601812.0,4180800000.0,18393278666.0,0.378888,0.282807,0.16966,42.6957,7.2438,0.023422,0.0,0.0,0.16966,0.07946,0.0902,True,Funds more growth than the price implies
IQV,IQVIA,Health Care,Life Sciences Tools & Services,43428065280.0,16983000163.0,1351366040.0,3048000000.0,6171019058.0,0.179474,0.079572,0.218986,32.1364,7.0374,0.031117,0.0,0.0,0.218986,0.075997,0.142989,True,Funds more growth than the price implies
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,24438544384.0,12701310420.0,660221993.0,1673964032.0,3657141478.0,0.131795,0.051981,0.18053,37.0156,6.6824,0.027016,0.007,0.25911,0.133753,0.077843,0.05591,True,Funds more growth than the price implies
JBL,Jabil,Information Technology,Electronic Manufacturing Services,31372208128.0,33590001407.0,837248883.0,2396999936.0,1322517813.0,0.071361,0.024926,0.633072,37.4706,23.7216,0.026688,0.0011,0.041218,0.606978,0.077991,0.528988,False,Outside screen
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,11710908416.0,2544339093.0,489385983.0,702214016.0,2101905847.0,0.275991,0.192343,0.23283,23.9298,5.5716,0.041789,0.0145,0.346982,0.152042,0.071195,0.080847,True,Funds more growth than the price implies
J,Jacobs Solutions,Industrials,Construction & Engineering,17214038016.0,14219216498.0,352286201.0,1056488000.0,3261866024.0,0.0743,0.024775,0.108001,48.8638,5.2774,0.020465,0.0098,0.478865,0.056283,0.080791,-0.024507,True,Priced above what the balance sheet can fund
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,663228121088.0,97929007594.0,20773323657.0,34872000512.0,85030855339.0,0.356095,0.212126,0.244303,31.9269,7.7999,0.031322,0.0198,0.632153,0.089866,0.075905,0.013961,True,Broadly consistent
JCI,Johnson Controls,Industrials,Building Products,84349493248.0,24995001191.0,2150382054.0,4325000192.0,13481986527.0,0.173035,0.086032,0.1595,39.2254,6.2565,0.025494,0.0115,0.451092,0.087551,0.078528,0.009023,True,Broadly consistent
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,44349317120.0,20089999656.0,1374434191.0,4807000064.0,25032394234.0,0.239273,0.068414,0.054906,32.2673,1.7717,0.030991,0.0288,0.929299,0.003882,0.076054,-0.072172,True,Priced above what the balance sheet can fund
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,54765072384.0,6582000255.0,1265328963.0,1788000000.0,6571025157.0,0.27165,0.192241,0.192562,43.2813,8.3343,0.023105,0.0,0.0,0.192562,0.079603,0.112959,True,Funds more growth than the price implies
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,71190863872.0,17959000363.0,3429275269.0,7634999808.0,31658444734.0,0.425135,0.19095,0.108321,20.7597,2.2487,0.04817,0.0368,0.763958,0.025568,0.068323,-0.042755,True,Priced above what the balance sheet can fund
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,225065746432.0,13579476823.0,4821157578.0,6054757888.0,6347203961.0,0.445876,0.355033,0.759572,46.6829,35.459,0.021421,0.0054,0.252088,0.568093,0.080361,0.487733,False,Outside screen
KR,Kroger,Consumer Staples,Food Retail,35668324352.0,148645009590.0,1053753313.0,8080000000.0,5668212473.0,0.054358,0.007089,0.185906,33.8488,6.2927,0.029543,0.0249,0.842836,0.029218,0.076706,-0.047488,True,Priced above what the balance sheet can fund
LHX,L3Harris,Industrials,Aerospace & Defense,48659742720.0,12856000336.0,1830489728.0,2146000000.0,19139324763.0,0.166926,0.142384,0.09564,26.5829,2.5424,0.037618,0.019,0.505075,0.047335,0.073072,-0.025737,True,Priced above what the balance sheet can fund
LH,LabCorp,Health Care,Health Care Services,26897627136.0,14347999849.0,980499041.0,2319800064.0,8628066766.0,0.161681,0.068337,0.113641,27.4326,3.1175,0.036453,0.0088,0.241407,0.086207,0.073596,0.012611,True,Broadly consistent
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,360780857344.0,23232691248.0,7195095483.0,8641328128.0,12471915350.0,0.371947,0.309697,0.576904,50.1426,28.9275,0.019943,0.0045,0.225642,0.44673,0.081026,0.365705,False,Outside screen
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,7205492224.0,6612299527.0,284590134.0,1104300032.0,1825226346.0,0.167007,0.04304,0.15592,25.3188,3.9477,0.039496,0.0289,0.731715,0.041831,0.072227,-0.030395,True,Priced above what the balance sheet can fund
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,28848611328.0,13718999550.0,1696977137.0,4639000064.0,580987969.0,0.338144,0.123695,2.920847,17.0,49.6544,0.058824,0.0274,0.4658,1.560316,0.063529,1.496787,False,Outside screen
LDOS,Leidos,Industrials,Diversified Support Services,16788347904.0,17634000505.0,1345276495.0,2382000128.0,5283975008.0,0.13508,0.076289,0.254596,12.4795,3.1772,0.080132,0.0124,0.154746,0.215198,0.053941,0.161257,True,Funds more growth than the price implies
LEN,Lennar,Consumer Discretionary,Homebuilding,20134014976.0,32737234985.0,1536910930.0,2285495040.0,21620578962.0,0.069813,0.046947,0.071086,13.1003,0.9312,0.076334,0.0242,0.317028,0.048549,0.05565,-0.0071,True,Broadly consistent
LLY,Lilly (Eli),Health Care,Pharmaceuticals,1034491265024.0,79666004102.0,26582808608.0,41706999808.0,33887953883.0,0.523523,0.333678,0.784432,38.9158,30.5268,0.025697,0.006,0.233495,0.601272,0.078437,0.522835,False,Outside screen
LIN,Linde plc,Materials,Industrial Gases,224704790528.0,35448999337.0,7145192847.0,13822000128.0,39080976688.0,0.389912,0.201563,0.18283,31.4484,5.7497,0.031798,0.0131,0.411974,0.107509,0.075691,0.031818,True,Funds more growth than the price implies
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,6256741376.0,13688000227.0,455403739.0,1403000064.0,6436878714.0,0.102499,0.03327,0.070749,13.7389,0.972,0.072786,0.0486,0.66771,0.023509,0.057246,-0.033737,True,Priced above what the balance sheet can fund
