Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
AME,Ametek,Industrials,Electrical Components & Equipment,53461430272.0,7863923096.0,1570439544.0,2500681984.0,11260854005.0,0.317994,0.199702,0.13946,34.0423,4.7475,0.029375,0.0059,0.20085,0.11145,0.076781,0.034668,True,Funds more growth than the price implies
AMGN,Amgen,Health Care,Biotechnology,239413477376.0,38095000365.0,8785270092.0,17268000768.0,11688464656.0,0.453288,0.230615,0.751619,27.2517,20.4829,0.036695,0.023,0.626789,0.280512,0.073487,0.207025,False,Outside screen
APH,Amphenol,Information Technology,Electronic Components,197375983616.0,29011600263.0,4931933624.0,9463700480.0,15496135592.0,0.326204,0.169999,0.318269,40.02,12.7371,0.024988,0.0061,0.244122,0.240572,0.078756,0.161817,True,Funds more growth than the price implies
ADI,Analog Devices,Information Technology,Semiconductors,172364775424.0,13881744395.0,4104269343.0,6922700800.0,33550826717.0,0.498691,0.295659,0.12233,41.9965,5.1374,0.023812,0.0124,0.520756,0.058626,0.079285,-0.020659,True,Priced above what the balance sheet can fund
AON,Aon,Financials,Insurance Brokers,70188064768.0,17577000357.0,3903108050.0,5900000256.0,9603766954.0,0.335666,0.222058,0.406414,17.9826,7.3084,0.055609,0.0101,0.181624,0.3326,0.064976,0.267624,False,Outside screen
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,15658960896.0,8571999941.0,1660666174.0,5720000000.0,7014737614.0,0.667289,0.193731,0.23674,9.4293,2.2323,0.106052,0.0226,0.213103,0.18629,0.042277,0.144013,True,Funds more growth than the price implies
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4742524698624.0,466822982102.0,127115306884.0,167959003136.0,107413168680.0,0.359792,0.272299,1.183424,37.3088,44.1522,0.026803,0.0033,0.123119,1.037722,0.077939,0.959783,False,Outside screen
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,347960737792.0,30836997955.0,9118434697.0,10154999808.0,25626056111.0,0.329312,0.295698,0.355827,38.1601,13.5784,0.026205,0.0048,0.183169,0.29065,0.078208,0.212443,True,Funds more growth than the price implies
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,9349728256.0,20518000100.0,458869630.0,3232999936.0,8722261010.0,0.157569,0.022364,0.052609,20.3756,1.0719,0.049078,0.0,0.0,0.052609,0.067915,-0.015306,True,Broadly consistent
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,33512112128.0,19232000105.0,4343846730.0,5565000192.0,23312090914.0,0.289361,0.225866,0.186334,7.7148,1.4375,0.12962,0.0,0.0,0.186334,0.031671,0.154664,True,Funds more growth than the price implies
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,41149706240.0,82099008800.0,1783250329.0,2995000064.0,23571197864.0,0.03648,0.021721,0.075654,23.0757,1.7458,0.043336,0.0246,0.567662,0.032708,0.070499,-0.037791,True,Priced above what the balance sheet can fund
ANET,Arista Networks,Information Technology,Communications Equipment,234713923584.0,10540800046.0,3985470169.0,4639600128.0,14797948962.0,0.440156,0.378099,0.269326,58.8924,15.8612,0.01698,0.0,0.0,0.269326,0.082359,0.186967,True,Funds more growth than the price implies
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,67791937536.0,15109000003.0,1558553204.0,4288000000.0,23720770090.0,0.283804,0.103154,0.065704,43.4967,2.8579,0.02299,0.0107,0.465415,0.035124,0.079654,-0.04453,True,Priced above what the balance sheet can fund
AIZ,Assurant,Financials,Multi-line Insurance,14011403264.0,13456200434.0,1042211254.0,1737100032.0,6090696323.0,0.129093,0.077452,0.171115,13.4439,2.3005,0.074383,0.0125,0.168049,0.14236,0.056528,0.085832,True,Funds more growth than the price implies
