symbol,name,sector,sub_industry,market_cap,fail_reasons,in_base,in_margin,in_returns
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,8195350016.0,negative_trailing_eps,True,True,False
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,7743192064.0,negative_trailing_eps,True,True,False
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,7558842880.0,negative_trailing_eps,True,True,False
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,6050149888.0,negative_trailing_eps,True,True,False
TFX,Teleflex,Health Care,Health Care Equipment,5973236736.0,negative_trailing_eps,True,True,False
CE,Celanese,Materials,Specialty Chemicals,5120884736.0,negative_trailing_eps,True,True,False
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1669273728.0,negative_trailing_eps,True,True,False
PARA,Paramount Global,Communication Services,Movies & Entertainment,3799528.0,ebitda_margin_impossible,True,False,True
ANSS,Ansys,Information Technology,Application Software,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
AZO,AutoZone,Consumer Discretionary,Automotive Retail,,non_positive_book; revenue_not_derivable,True,False,False
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
BK,BNY Mellon,Financials,Asset Management & Custody Banks,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
CTLT,Catalent,Health Care,Pharmaceuticals,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
DAY,Dayforce,Industrials,Human Resource & Employment Services,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
DFS,Discover Financial,Financials,Consumer Finance,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
FI,Fiserv,Financials,Transaction & Payment Processing Services,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
HES,Hess Corporation,Energy,Integrated Oil & Gas,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
HOLX,Hologic,Health Care,Health Care Equipment,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
JNPR,Juniper Networks,Information Technology,Communications Equipment,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
K,Kellanova,Consumer Staples,Packaged Foods & Meats,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
MMC,Marsh McLennan,Financials,Insurance Brokers,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,,ebitda_missing; no_market_data; pb_missing; pe_missing; revenue_not_derivable,False,False,False
