specification,term,coefficient,std_error,t_stat,p_value
earnings yield ~ ROE + net margin (entangled),const,0.04624912636295249,0.002677802821904698,17.27129644670995,8.202405879084317e-49
earnings yield ~ ROE + net margin (entangled),w_roe,-0.0024204438117459825,0.005843418122528486,-0.41421711761722096,0.6789681154455073
earnings yield ~ ROE + net margin (entangled),w_net_margin,0.011501299990395989,0.013955035479391215,0.8241684521247616,0.410403530375108
log P/E ~ EBITDA margin,const,3.2972521236893595,0.06366798367813109,51.788229078501686,1.026181484747814e-166
log P/E ~ EBITDA margin,w_ebitda_margin,-0.3337167231364766,0.2000280249313661,-1.6683498387337572,0.09613552272558157
log P/E ~ EBITDA margin + log size,const,-0.18706042358749148,0.617300085486387,-0.30302996546663624,0.7620465425506213
log P/E ~ EBITDA margin + log size,w_ebitda_margin,-0.6068080617660495,0.19767138236864162,-3.0697820518824526,0.002309026903800562
log P/E ~ EBITDA margin + log size,w_log_market_cap,0.14425671027747303,0.02543213354828187,5.672222112376358,2.9496894799218015e-08
log P/E ~ EBITDA margin + log size + sustainable growth,const,-0.36426127182459345,0.6261060586625617,-0.5817884474759749,0.5610837112974012
log P/E ~ EBITDA margin + log size + sustainable growth,w_ebitda_margin,-0.5956042543378224,0.19737817947354638,-3.0175790248265426,0.002734675957494844
log P/E ~ EBITDA margin + log size + sustainable growth,w_log_market_cap,0.1530057321503246,0.025974686652648654,5.890570854479297,9.038429826605235e-09
log P/E ~ EBITDA margin + log size + sustainable growth,w_sustainable_growth,-0.2255670962757903,0.14271201485947557,-1.5805753741049746,0.11487841131320511
log P/E ~ EBITDA margin + log size + sector fixed effects,const,-0.31463523622698353,0.6490000773122012,-0.4847999980678406,0.6281294924559967
log P/E ~ EBITDA margin + log size + sector fixed effects,w_ebitda_margin,-0.49116004959641746,0.21526206283594973,-2.281684209124802,0.02312379781655933
log P/E ~ EBITDA margin + log size + sector fixed effects,w_log_market_cap,0.12910117743003574,0.025114100387370514,5.140585385847971,4.6239522012455877e-07
"log P/B ~ ROE + log size (mechanically linked, see decomposition)",const,-3.9941976248885585,0.6050043923990389,-6.601931614166085,1.5017858677156336e-10
"log P/B ~ ROE + log size (mechanically linked, see decomposition)",w_roe,2.393925918257105,0.11529105512347194,20.76419472172676,4.85437393792572e-63
"log P/B ~ ROE + log size (mechanically linked, see decomposition)",w_log_market_cap,0.19813304421305716,0.024776212615135487,7.9969060360751065,1.8689259162417535e-14
