cost_of_equity,median_priced_in_growth,median_gap,n_funding_deficit,n_funding_surplus,n_broadly_consistent,rank_corr_vs_base
0.07,0.050865603528416736,0.05571140932337112,34,193,58,1.0
0.08,0.06086560352841673,0.04571140932337112,53,182,50,1.0
0.09,0.07086560352841673,0.035711409323371135,69,165,51,1.0
0.1,0.08086560352841674,0.025711409323371126,86,150,49,1.0
0.11,0.09086560352841673,0.015711409323371117,92,133,60,1.0
0.12,0.10086560352841673,0.005711409323371136,103,117,65,1.0
